date,apartados,portada,desc,categoria,arqueologia
05-08-1938,,Sí,"cabeza clásica, negro y judío",,
05-08-1938,Scienza,,mujer etrusca,,Sí
20-08-1938,Scienza,,Venus,,
20-08-1938,Polemica,,dos emperadores,,
20-09-1938,,Sí,Antinoo manchado,,
20-09-1938,Scienza,,mujeres romanas,,
20-10-1938,Scienza,,urna etrusca,,Sí
05-11-1938,,Sí,Victoria Brescia,,
20-11-1938,,Sí,emperador a caballo,,
20-01-1939,,Sí,busto clásico y totem,,
20-01-1939,Documentazione,,tragedia griega,Grecia,Sí
05-04-1939,Scienza,,retratos antiguos,,
05-05-1939,Questionario,,monumentos romanos,,
20-05-1939,,Sí,columna con soldados sobre inscripción hebrea,,
05-06-1939,,,jóvenes delante arco,,
05-06-1939,,,ejército delante arco,,
20-06-1939,,Sí,arco aplasta hebreos,,
20-07-1939,Questionario,,bustos etruscos,,
05-08-1939,,,ejército delante arco,,
05-10-1939,,,monumentos romanos y griegos,,
05-10-1939,Questionario,,estatuas,,
05-12-1939,,Sí,araña sobre busto clásico,,
20-12-1939,,Sí,apolo belvedere con negros,,
05-01-1940,Questionario,,monumentos griegos,,Sí
20-01-1940,,Sí,eneida,,
20-01-1940,Questionario,,esculturas romanas,,
20-02-1940,Scienza,,templo agrigento,,
20-02-1940,Questionario,,esculturas etruscas,,
20-03-1940,Questionario,,monumentos romanos transformados por cristianos,,
05-04-1940,Scienza,,cabeza egipcia,,Sí
05-04-1940,Documentazione,,relieve romano,,
05-04-1940,Questionario,,monumentos griegos,,
20-04-1940,,Sí,asirios,,
20-04-1940,Questionario,,monumentos griegos,,
05-05-1940,Questionario,,monumentos griegos,,
20-05-1940,Questionario,,monumentos griegos,,
05-06-1940,,Sí,soldados romanos,,
05-06-1940,Questionario,,monumentos griegos,,
20-06-1940,,Sí,augusto dirige ejército,,
20-06-1940,Questionario,,arte romano,,
05-07-1940,Documentazione,,"mapa pueblos itálicos, IMPORTANTE POR IBEROS",,Sí
05-07-1940,Questionario,,monumentos griegos,,
20-08-1940,Questionario,,monumentos griegos,,
12-09-1940,Questionario,,monumentos griegos,,
05-10-1940,,Sí,romanos con fasces,,
05-10-1940,Questionario,,arte griego,,
20-10-1940,,Sí,legionario vs hebreo,,
05-11-1940,Questionario,,monumentos romanos,,
20-11-1940,,Sí,estatuas clásicas con orbe,,
20-11-1940,Documentazione,,monumentos romanos,,
20-11-1940,Questionario,,monumentos romanos,,
05-12-1940,Questionario,,monumentos romanos,,
20-12-1940,Questionario,Sí,máscara trágica griega,,
20-12-1940,Questionario,,monumentos romanos,,
05-01-1941,Polemica,,bustos romanos,,
05-03-1941,Polemica,,monumentos detrás aviones cazas,,
20-04-1941,,Sí,esculturas clásicas,,
05-06-1941,,Sí,victoria alada,,
20-06-1941,,Sí,laoconte,,
05-11-1941,Polemica,,bustos clásicos,,
05-12-1941,,Sí,doríforo,,
20-04-1942,,,legionario con soldado moderno,,
05-05-1942,,Sí,columna trajano,,
20-05-1942,,,niños estudiando estatuas clásicas,,
20-06-1942,,Sí,judea capta,,
20-06-1942,,,relieve arco tito,,
20-09-1942,,Sí,escultura clásica,,
05-10-1942,,Sí,perseo y gorgona,,
05-11-1942,,Sí,escultura clásica con atletas,,
